Name,Description,Type,Adjudication,Adjustment Date,Unit Counts
Aircraft Sheet Metal Forming (Konstruksi Badan Pesawat Udara) MEA National Aerospace Industry Standards (Australia),MEA National Aerospace Industry Standards (Australia),Standar Kompetensi Kerja Internasional (SKKI),,18 April 19,23
EGISTRASI STANDAR KOMPETENSI KERJA KHUSUS PENGOPERASIAN ALAT BERAT PERTAMBANGAN DAN KONSTRUKSI PT. PAMAPERSADA NUSANTARA,EGISTRASI STANDAR KOMPETENSI KERJA KHUSUS PENGOPERASIAN ALAT BERAT PERTAMBANGAN DAN KONSTRUKSI PT. PAMAPERSADA NUSANTARA,Standar Kompetensi Kerja Khusus (SKKK),2/905/LP.00.00/IV/2021,30 April 2021,5
REGISTRASI STANDAR KOMPETENSI KERJA KHUSUS PEMELIHARAAN ALAT BERAT PERTAMBANGAN DAN KONSTRUKSI PT. PAMA PERSADA NUSANTARA,REGISTRASI STANDAR KOMPETENSI KERJA KHUSUS PEMELIHARAAN ALAT BERAT PERTAMBANGAN DAN KONSTRUKSI PT. PAMA PERSADA NUSANTARA,Standar Kompetensi Kerja Khusus (SKKK),2/904/LP.00.00/IV/2021,30 April 2021,16
BIDANG TEKNIS BIDANG PENGOPERASIAN ALAT BERAT PERTAMBANGAN DAN KONSTRUKSI,SKKK PT. PAMA,Standar Kompetensi Kerja Khusus (SKKK),KEP. 2/497/LP.00.00/VII/2020,20 Juli 2020,35
"BIDANG TEKNIS PENGAWAS OPERASIONAL, PEMELIHARAAN DAN PENGOPERASIAN ALAT BERAT PERTAMBANGAN DAN KONSTRUKSI",SKKK PT. PAMA,Standar Kompetensi Kerja Khusus (SKKK),KEP. 2/494/LP.00.00/VII/2020,20 Juli 2020,39
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Lainnya pada Jabatan Kerja Mandor Pekerjaan Timbunan Tubuh Bendungan Tipe Urugan,Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Lainnya pada Jabatan Kerja Mandor Pekerjaan Timbunan Tubuh Bendungan Tipe Urugan,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),180 Tahun 2019,31 Juli 2019,3
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Pada Jabatan Kerja Ahli Hidrolika,Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Pada Jabatan Kerja Ahli Hidrolika,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),151 Tahun 2019,17 Juli 2019,8
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil pada Jabatan Kerja Ahli Teknik Pantai,Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil pada Jabatan Kerja Ahli Teknik Pantai,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),206 Tahun 2019,15 Agustus 2019,21
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Pada Jabatan Kerja Ahli Teknik Rawa,-,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),169 Tahun 2019,18 Juli 2019,8
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil pada Jabatan Kerja Mandor Drainase Jalan,Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil pada Jabatan Kerja Mandor Drainase Jalan,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),208 Tahun 2019,15 Agustus 2019,3
